rmd_filename,Day,Session,Subsession,Product,Type,Title,Description,Duration,Trainer,Colorado_ID,colorado_title,vanity_url,hugo_section,hugo_section_title
Overview.Rmd,1,0,1,Overview,rmarkdown,Overview,Curriculum,,.,1945,Pro Admin Training: Overview,pro-admin-training/overview,overview,Overview
p011_how_it_works.Rmd,1,1,1,Overview,xaringan,Getting started,Introduction to the course,,Andrie,1930,Team admin 1.1 Getting started,team-admin/getting-started,get-started,Getting started
e011_ssh_in.Rmd,1,1,1,R,learnr,Getting started,Registration and logging in to your virtual machine,,,4149,Pro Admin Training 1-1: Start your virtual machine,team-admin/ssh-in,get-started,Getting started
p021_install_r.Rmd,1,2,1,R,xaringan,Installing R,Considerations when installing R,30,Andrie,4150,Pro Admin Training 1-1: Install R,team-admin/install-r,install-r,Installing R
e021_install_r.Rmd,1,2,1,R,learnr,Installing R,Install R from pre-compiled binaries on your VM,,,4114,Pro Admin Training 1-1 exercise: Install R,team-admin/install-r-exercise,install-r,Installing R
p031_install_rsp.Rmd,1,3,1,RSP,xaringan,Installing RStudio Server Pro,"Architectural, sizing and security considerations for RStudio Server Pro",45,Andrie,1931,Pro Admin Training 1: RStudio Server Pro,team-admin/RSP,install-rsp,RStudio Server Pro
e031_install_rsp.Rmd,1,3,1,RSP,learnr,Installing RStudio Server Pro,Install RStudio Server Pro,,,1982,Pro Admin Training 1-2 exercise: Install and configure RSP,team-admin/install-rsp-exercise,install-rsp,RStudio Server Pro
p032_security.Rmd,1,3,2,RSP,xaringan,Authenticating,Introduction to authentication with RStudio Server Pro,75,"Cole, Nathan",1932,Pro Admin Training 2: Security in RStudio Products,team-admin/security,install-rsp,RStudio Server Pro
e032_security.Rmd,1,3,2,RSP,learnr,Authenticating,Configure RStudio Server Pro with LDAP,,,1964,Pro Admin Training 2 exercise: Security in RStudio Products,team-admin/security-rsp-exercise,install-rsp,RStudio Server Pro
p033_startup_and_packages.Rmd,1,3,3,RSP,xaringan,R startup and binary packages,"Understanding the R startup sequence, and introduction to fast binary packages",75,"Cole, Nathan",4211,Team admin 3.3 R Startup and binary packages,team-admin/binary-packages,install-rsp,RStudio Server Pro
e033_startup_and_packages.Rmd,1,3,3,RSP,learnr,R startup and binary packages,Configure RStudio Server Pro to use binary package installation,,,4212,Team admin 3.3 exercise: R Startup and binary packages,team-admin/binary-packages-exercise,install-rsp,RStudio Server Pro
p041_install_connect.Rmd,1,4,1,Connect,xaringan,Installing RStudio Connect,Introduction to RStudio Connect,30,Andrie,1933,Pro Admin Training 3-1: Install Connect,team-admin/install-connect,install-connect,Installing RStudio Connect
